title,difficulty,recipe_type,instructions,prep_time
Feijoada,Fácil,Prato Principal,"1. Cozinhe o feijão com as carnes.
2. Refogue a cebola, alho e pimentão.
3. Junte o feijão cozido com as carnes ao refogado.
4. Sirva com arroz e farofa.",120
Brigadeiro,Fácil,Sobremesa,"1. Misture o leite condensado, o chocolate em pó e a manteiga em uma panela.
2. Cozinhe em fogo médio, mexendo sempre, até desgrudar do fundo da panela.
3. Espere esfriar e faça bolinhas com a massa.
4. Passe as bolinhas no granulado e sirva.",30
Pão de Queijo,Fácil,Aperitivo,"1. Misture todos os ingredientes em um recipiente.
2. Amasse bem até formar uma massa homogênea.
3. Modele os pães de queijo em formato de bolinhas.
4. Asse em forno preaquecido a 180°C por cerca de 20 minutos ou até dourar.",40
Moqueca de Peixe,Médio,Prato Principal,"1. Refogue a cebola, alho e tomate em azeite de dendê.
2. Adicione o peixe, o leite de coco e os temperos.
3. Cozinhe em fogo baixo por aproximadamente 20 minutos.
4. Sirva com arroz branco e pirão.",60
Coxinha,Difícil,Aperitivo,"1. Cozinhe o frango, desfie e reserve.
2. Refogue cebola e alho em azeite.
3. Acrescente o frango desfiado e tempere a gosto.
4. Modele as coxinhas, passe na farinha de rosca e frite em óleo quente.",90
Bobó de Camarão,Médio,Prato Principal,"1. Refogue a cebola, alho e pimentão em azeite de dendê.
2. Adicione o camarão e refogue por alguns minutos.
3. Acrescente o leite de coco, os temperos e deixe cozinhar por mais alguns minutos.
4. Sirva com arroz branco e farofa.",45
Bolo de Cenoura,Fácil,Sobremesa,"1. Bata no liquidificador a cenoura, os ovos, o óleo e o açúcar.
2. Em uma tigela, misture a farinha de trigo e o fermento.
3. Adicione a mistura do liquidificador à tigela e mexa bem.
4. Asse em forma untada e enfarinhada em forno preaquecido a 180°C por aproximadamente 40 minutos.",50
Pastel de Carne,Médio,Aperitivo,"1. Misture a carne moída com temperos a gosto.
2. Abra a massa de pastel, coloque o recheio de carne e feche.
3. Frite em óleo quente até dourar.
4. Sirva quente.",25
Risoto de Frango,Médio,Prato Principal,"1. Refogue a cebola e o alho em azeite.
2. Acrescente o arroz e mexa por alguns minutos.
3. Adicione o caldo de frango aos poucos, mexendo até o arroz cozinhar.
4. Finalize com o frango desfiado e queijo ralado.",35
Caipirinha,Fácil,Bebida,"1. Em um copo, amasse limão e açúcar a gosto.
2. Adicione gelo e a cachaça.
3. Misture bem e sirva.",5
